entity_group_id,entity_category,entity_subgroup_id,count
Private,Contractor,"Excavation, Earthwork",1
Private,Contractor,"Excavation, Landscape",1
Private,Contractor,"Excavation, Septic",1
Private,Contractor,"Excavation, Trucking",1
Private,Contractor,"Excavation, Utilities",1
Private,Contractor,"Fence, Decks, Patio Covers",1
Private,Contractor,"Finish, Carpentry",1
Private,Contractor,Fire Protection,1
Private,Contractor,"Flooring, Remodeling",1
Private,Contractor,"Framing, Finish",1
Private,Contractor,Garage Door,1
Private,Contractor,"Grading, Trucking",1
Private,Contractor,Gutter,1
Private,Contractor,"Gutter, Shade",1
Private,Contractor,"HVAC, Sheet Metal",1
Private,Contractor,"Heating, Plumbing, Electric",1
Private,Contractor,Erosion Control,1
Private,Contractor,"Electrical, Technologies",1
Private,Contractor,"Electrical, Remodeling",1
Private,Contractor,Blasting,1
Private,Architect,Planner,1
Private,Builder,"Residential, Commercial",1
Private,Contractor,Appliance Repair,1
Private,Contractor,Asphalt,1
Private,Contractor,"Asphalt, Excavation",1
Private,Contractor,Audio Visual,1
Private,Contractor,Awnings,1
Private,Contractor,Boring,1
Private,Contractor,"Electrical, Plumbing, HVAC",1
Private,Contractor,"Boring, Excavation",1
Private,Contractor,"Carpentry, Remodeling",1
Private,Contractor,Civil,1
Private,Contractor,Cleaning,1
Private,Contractor,"Coatings, Blasting",1
Private,Contractor,"Drywall, Remodeling",1
Private,Contractor,"Electrical, Mechanical",1
Private,Contractor,Home,1
Private,Contractor,"Industrial, Marine",1
Private,Contractor,Land,1
Private,Engineering,"Civil, Planner, Landscape",1
Private,Contractor,Supply,1
Private,Contractor,"Tile, Painting",1
Private,Contractor,"Tile, Remodeling",1
Private,Contractor,Traffic Control,1
Private,Contractor,Trucking,1
Private,Contractor,"Trucking, General",1
Private,Contractor,"Well Drilling, Septic",1
Private,Engineering,"Civil, Planning",1
Private,Contractor,"Siding, General",1
Private,Engineering,"Civil, Planning, Management",1
Private,Engineering,"Civil, Surveying, Planning, Landscape",1
Private,Engineering,Electrical,1
Private,Engineering,"Environmental, Civil, Water",1
Private,Engineering,"Environmental, Mechanical",1
Private,Engineering,"Environmental, Water",1
Private,Engineering,Fire,1
Private,Contractor,"Steel, General",1
Private,Contractor,"Roofing, Waterproofing",1
Private,Contractor,"Landscape, Cleaning",1
Private,Contractor,"Plumbing, Septic",1
Private,Contractor,"Landscape, Grading",1
Private,Contractor,"Landscape, Pools",1
Private,Contractor,"Landscape, Tree Service",1
Private,Contractor,"Painting, General",1
Private,Contractor,"Plumbing, Electrical",1
Private,Contractor,"Plumbing, Excavation",1
Private,Contractor,"Plumbing, HVAC",1
Private,Contractor,"Pump, Supply",1
Private,Contractor,"Roofing, Solar",1
Private,Contractor,"Remodeling, Commercial",1
Private,Contractor,"Remodeling, Design",1
Private,Contractor,"Remodeling, Drywall",1
Private,Contractor,"Remodeling, Electrical",1
Private,Contractor,"Remodeling, Restoration",1
Private,Contractor,"Roofing, Insulation",1
Private,Contractor,"Roofing, Maintenance",1
Public,Engineering,"Full Service, Surveying, Mapping, Planning",1
