original_id,Name,Entity Group ID,Entity Category,Entity Subgroup ID
6194,Albinson Landscape & Design,Firm,,Contractor
6196,All-Tech Electric,Firm,,Contractor
6199,Allstate Plumbing,Firm,,Contractor
6200,American Builders Siding & Supply,Firm,,Contractor
6507,"Asphalt Driveways and Patching, Inc.",Firm,,Contractor
6509,Back 2 Black Sealcoat and Striping Inc,Firm,,Contractor
6510,Bar 7 LLC,Firm,,Contractor
6512,"Big Sky Communication & Cable, Inc.",Firm,,Contractor
6850,A.T.S. Sprinklers,Firm,,Contractor
6851,Doug's Electric,Firm,,Contractor
6853,Elumbaugh Electrical Contracting,Firm,,Contractor
6854,Emerald Electric,Firm,,Contractor
7264,FTF Media LLC,Firm,Media,Contractor
7265,"Front Street Brokers, LLC",Firm,RE - Residential,Contractor
7266,Future Techs R/E,Firm,Other,Contractor
7267,G and T Realty,Firm,RE - Residential,Contractor
7268,Balt LLC,Firm,,Contractor
8382,Graham-Gilbert Ditch,FIrmj,,
8962,"North End Neighborhood Association, Inc. (The)",Firm,,Contractor
9177,"Spectrum Wireless Solutions, LLC",Firm,,Contractor
9178,Idapro Services Corporation,Firm,,Contractor
9180,Prime Plumbing LLC,Firm,,Contractor
9181,Babichenko LLC,Firm,,Contractor
9182,"H & H Siding, Inc.",Firm,,Contractor
10093,,Firm,,Unknown
11599,"Partner Produce, Inc.",Firm,,Surveyor
11600,Helena Chemical Company,Firm,,Sanitation
11601,"Damaur Enterprises, Inc",Firm,,Unknown
11602,"Middle Star, LLC",Firm,,Unknown
11603,Crown Industrial ,Firm,,Manufacturing
11907,Avista Corporation,Firm,,
11934,NATIONAL MORTGAGE COMPANY,Firm,,
11997,Espresso Experience,Firm,,
12045,Kim's Haircuts,Firm,,
12292,"Bond Bros. & Co., Ltd.",Firm,,
12590,Engineering System Solutions,Firm,,
12971,Treasure Valley Pole Barn and Concrete LLC,Firm,,
12973,Vision Enterprises LLC,Firm,,
12974,Zeek Electric LLC.,Firm,,
12975,Trusted Heating & Air LLC,Firm,,
12977,"Guardian Bonding Company, LLC",Firm,,
12978,H & H Electric,Firm,,
12979,House Idaho L.L.C.,Firm,,
12980,J Electric LLC,Firm,,
12981,Spruce Home and Design Co. LLC,Firm,,
12982,Same Day Home Services Limited Liability Company,Firm,,
12983,"Rocky Mountain Granite & Tile, Inc.",Firm,,
12984,Right Now Plumbing,Firm,,
12985,RAYO Landscape LLC,Firm,,
12986,Pursuit Restoration LLC,Firm,,
12987,NW Extreme Installers Inc.,Firm,,
12988,Nacho Landscaping LLC,Firm,,
12989,Mitchell Inventions LLC,Firm,,
12990,"Method Mechanical, LLC",Firm,,
12991,McFate's LLC,Firm,,
12992,Les Bois Interior Design LLC,Firm,,
12993,DeNovo Design and Renovation LLC,Firm,,
12994,"Corona Landscape, LLC",Firm,,
12995,Royce Finish Works,Firm,,
12996,Craftsman Home Improvement LLC,Firm,,
12999,All-Pro Refinishing LLC,Firm,,
13001,Concrete Flatworks Incorporated,Firm,,
13002,Convergint Technologies LLC,Firm,,
13003,Creighton Contracting LLC,Firm,,
13004,"Customcraft, LLC",Firm,,
13005,Cutting Edge Services LLC,Firm,,
13006,Delta Electric LLC,Firm,,
13008,Enso Carpentry And Remodeling LLC,Firm,,
13009,"Flatiron Development, LLC",Firm,,
13010,"Fundamental Alarm Designs, LLC",Firm,,
13011,Houseworks Building Co. LLC,Firm,,
13012,Idaho Grading and Trucking LLC,Firm,,
13013,Jack Frost Company LLC,Firm,,
13014,JJ custom plumbing LLC,Firm,,
13016,Lost River Design & Remodeling,Firm,,
13017,"Magic Electric, Plumbing, Heating & Air",Firm,,
13018,"McAlvain Concrete, Inc.",Firm,,
13019,"McKinstry Co., LLC",Firm,,
13020,Patrick Sevy Handyman & Services LLC,Firm,,
13021,Phoenix Remodeling LLC,Firm,,
13022,Phil's Electric Electrical Contractor LLC,Firm,,
13023,"Pick Electric, Inc.",Firm,,
13026,Silver Tree Plumbing LLC,Firm,,
13027,"Sloan Security Group, Inc",Firm,,
13028,"Stark Landscape, Inc.",Firm,,
13029,"Summit Properties, LLC",Firm,,
13032,U & L LANDSCAPING LLC,Firm,,
13033,Valley Roofing and Maintenance LLC,Firm,,
13034,"Veca Electric & Technologies, LLC",Firm,,
13036,"Agricultural Services, Inc.",Firm,,
13037,"Denver Commercial Builders, Inc.",Firm,,
13038,NVent Thermal LLC,Firm,,
13040,"Commercial Glass, Inc.",Firm,,
13041,"Brainwood Creative, LLC",Firm,,
13043,"North Star Farms, LLC",Firm,,
13044,"Terra View, LLC",Firm,,
13046,Full Sail Real Estate,,,
13048,HomeCU,,,
13051,Lott Bean LLC,Firm,,
13053,"Millhorn Farms, Inc.",,,
13054,LCE ,,,
13055,"Comore Development, Inc.",Firm,,
13057,Knife River Corporation - Mountain West,Firm,,
13060,C4 Structures LLC,Firm,,
13061,"Criterion Trailers, LLC",Firm,,
13063,Five & Co. Design + Build L.L.C.,Firm,,
13064,"GW Building, LLC",Firm,,
13066,Liberty Solar Power Inc.,Firm,,
13068,Pool & Spa by Cesar LLC,Firm,,
13069,Traditions Company LLC,Firm,,
13070,"ACS Electrical Service, Inc.",Firm,,
13071,ACT Heating and Cooling,Firm,,
13072,AIR Heating and Cooling,Firm,,
13073,DML Services of Idaho LLC,Firm,,
13075,Air Now Heating& Cooling,Firm,,
13076,"Hemlock Developers, LLC",Firm,,
13077,Impact Coating & Blasting,Firm,,
13079,Merit General Contractors LLC,Firm,,
13080,NWESTCO LLC,Firm,,
13081,Overhaulin Idaho LLC,Firm,,
13083,Realty Repair LLC,Firm,,
13085,"Rhino Metals, Inc.",Firm,,
13086,River Valley Woodworks,Firm,,
13087,River Valley Woodworks LLC,Firm,,
13088,Rocky Mountain Design Build,Firm,,
13089,Solid Gold LLC,Firm,,
13090,"Taylor-Morgan, Inc.",Firm,,
13091,Terry Reilly Health Services,Firm,,
13092,"Wildcat Electric, LLC",Firm,,
13094,Idaho Heating LLC,Firm,,
13095,James Square Dev LLC,Firm,,
13101,AllScapes Landscape Services LLC,,,
13106,"TVC, INC.",Firm,,
13110,FCI Group Inc (The),Firm,,
13111,Greenberg & Company,,,
13114,My Company,,,
13117,My Big Co,,,
13121,Riverhawk Properties LLC,Firm,,
13125,"Sundance Partners, LLC",Firm,,
13127,Cushman & Wakefield Commerce Real Estate Solutions,Firm,,
13132,Catalyst Group,,,
13142,LPD,,,
13146,"James Ray, Inc.",Firm,,
13152,We Know Boise,,,
13156,Marque 5,,,
13157,"Wickel Land Company, LLP",Firm,,
13160,XYZ,,,
13161,Valley Wide Cooperative,Firm,,
13162,Service Experts Heating & Air Conditioning,Firm,,
13163,Home Heating and Air Conditioning Inc. Boise,Firm,,
13164,1A Heating and Cooling Specialty LCC,Firm,,
13184,Dry Thumb Properties LLC,Firm,,
13206,"Pivots Plus, LLC.",Firm,,
13210,"Cannon Farmhouse, LLC",Firm,,
13212,"First Class Framing, LLC",Firm,,
13214,"Legacy Craft, LLC",Firm,,
13219,Avid Plumbing LLC,Firm,,
13221,DC,,,
13223,RightHome,,,
13244,"Associated Consulting and Design Engineers, PLLC",Firm,,
13248,"Ameritel Inns, Inc.",Firm,,
13249,Prime Time Auctions Inc.,Firm,,
13253,"HEDCO, Inc.",Firm,,
13258,"HRE Development, LLC",Firm,,
13259,"HRN Investments I, LLC",Firm,,
13269,Contos & Associates,,,
13272,North End Development LLC,,,
13274,Beatty's Steel Fabrication LLC,,,
13275,GHD,,,
13277,Epic Realty,,,
13280,Davis,,,
13282,Bailey Ventures LLC,,,
13294,Stone Castle Consulting,,,
13296,Jones & Company Flavorings,,,
13300,MYCO,,,
13302,"Crow Bear Enterprises, LLC",,,
13312,Ellaventures,,,
13315,"Story Real Estate Advisors, LLC",,,
13318,LSW,,,
13319,Sweet Group Realty LLC,,,
13330,Ryan Smith,,,
13337,"JKIM Group, Inc.",,,
13349,Terrace Falls Development Co,,,
13362,RMES,Firm,,
13363,Republic Storage,,,
13366,Marketing Boss Inc,,,
13376,TVHI,,,
13378,Deliberate Directions,,,
13381,"Ahlin Investment Company, LLC",Firm,,
13382,Alcorn Design Build Inc,Firm,,
13383,Valley Roofing,Firm,,
13392,"Boise Inspection Services, LLC",Firm,,
13394,"Elite Group Inspections, Inc.",Firm,,
13395,Idaho Elite Inspection Team LLC,Firm,,
13398,Inspecting Boise LLC,Firm,,
13400,Five Star Home Services,Firm,,
13401,"Complete Check Inspections, LLC",Firm,,
13402,Nielsen Inspection Services,Firm,,
13404,"Springs Inspections, LLC",Firm,,
13411,Grey Owl Property Inspections LLC,Firm,,
13423,Professional Inspection Services LLC,Firm,,
13426,"Peak Inspections, Inc.",Firm,,
13430,Amherst Madison,,,
13435,Presidential Inspections LLC,Firm,,
13436,WPE,,,
13437,Royal Inspection Company,Firm,,
13439,Dwell Inspect Idaho,Firm,,
13443,Intermountain Building Inspections Corp,Firm,,
13444,Benchmark Services,Firm,,
13449,DOWL HKM,Firm,,
13450,Dick's Property Service LLC,Firm,,
13451,"Water, Fire, Mold & Biohazard Services of Idaho, Inc.",Firm,,
13453,Ace Plumbing LLC,Firm,,
13454,Arrow Building Services,Firm,,
13455,"Canyon Creek Gardens, LLC",Firm,,
13456,Chambers Custom Woodworking,Firm,,
13459,Boglan Development LLC,Firm,,
13460,"Bring More General Traders USA, LLC",Firm,,
13461,Colosseum LLC,Firm,,
13468,Angstman Johnson,Firm,,
13470,"Belnap Legal, PLLC",Firm,,
13471,"Racine Olson, PLLP",Firm,,
13476,Givens Pursley,,,
13481,Realm Development Services Inc,Firm,,
13483,Comfort Expert Builders Inc,Firm,,
13485,"J Squared & the Funky Bunch, LLC",Firm,,
13486,Leatham Landscapes LLC,Firm,,
13487,"Mitchell Projects Group, LLC",Firm,,
13491,Dreamscapes Idaho LLC,Firm,,
13492,"Fire Engineering Company, Inc.",Firm,,
13493,Gomez Sprinklers Landscaping Maintenance LLC,Firm,,
13494,Idaho Underground - Boring and Excavation,Firm,,
13495,"Borton Law Offices, PLLC",Firm,,
13496,"Boise Law Firm, PLLC (The)",Firm,,
13497,Timber Creek Landscape LLC,Firm,,
13500,Vince Eason Plumbing,Firm,,
13502,"Elite Power Solutions, LLC",Firm,,
13503,"Galban Electric, LLC",Firm,,
13504,"Grant Mackay Company, Inc.",Firm,,
13505,Herron Aviation LLC,Firm,,
13506,"Innovative Air, Inc.",Firm,,
13508,Nostrum LLC,Firm,,
13509,"Pride Electrical Contractors, Inc.",Firm,,
13510,Professional Siding Installers LLC,Firm,,
13511,Sleepy Hollow Properties Caldwell LLC,Firm,,
13513,Triple T Electric,Firm,,
13514,Landmark Legal Group,Firm,,
13515,888 Investment Company LLC,Firm,,
13516,"AH Excavation, LLC",Firm,,
13517,"Authentic You Counseling Center, LLC",Firm,,
13518,"Banducci's Excavation, LLC",Firm,,
13520,Big Bear Solutions Inc,Firm,,
13521,"Boise Disaster Services, LLC",Firm,,
13522,Briggs Roofing Company,Firm,,
13523,C & C LLC,Firm,,
13526,C G CONSTRUCTION,Firm,,
13527,"Clark & Co. Real Estate, LLC",Firm,,
13528,Dans Electric LLC,Firm,,
13529,Digital Partners Group LLC,Firm,,
13530,Double A Plumbing and Excavation LLC,Firm,,
13531,Element Fencing LLC,Firm,,
13532,Freestone Electric LLC,Firm,,
13533,Home Service Pros LLC,Firm,,
13535,"Premier Interior Development, Inc.",Firm,,
13536,RD Electric LLC,Firm,,
13537,Red Rock Mechanical Inc,Firm,,
13538,Ross' Heating & Cooling,Firm,,
13541,Triple Five Electric,Firm,,
13542,Velocity Electrical Services,Firm,,
13543,Velocity Electrical Services L.L.C.,Firm,,
13544,arch-i-tect.com,,,
13545,"Sawtooth Law Offices, PLLC",Firm,,
13546,White Peterson,Firm,,
13547,"White, Peterson, Gigray & Nichols, P.A.",Firm,,
13548,Collins Law PLLC,Firm,,
13549,"Hamilton MIchaelson & Hilty, LLP",Firm,,
13550,Varin Thomas,Firm,,
13552,"Elam & Burke, Professional Association",Firm,,
13553,"Davison, Copple, Copple & Copple, L.L.P.",Firm,,
13556,Direct Inspections Corp,Firm,,
13558,"Inspection Protection, LLC",Firm,,
13561,Robertson Quality Inspections LLC,Firm,,
13563,"Vantage Point Inspections, LLC",Firm,,
13564,BB Inspections,Firm,,
13565,"KNK House Inspections, LLC",Firm,,
13566,"Capstone Professional Inspections, L.L.C.",Firm,,
13567,Premier Group (The),,,
13573,"Cornerstone Building & Design, LLC",,,
13576,Callaway,,,
13577,n/a,,,
13589,Valley Farm and Ranch Maintenance,Firm,,
13593,Roy's Roofing,Firm,,
13602,"Ironstone Builders, LLC",Firm,,
13605,Electric Authority,Firm,,
13620,T-N-HA Enterprise LLC,Firm,,
13632,14bypass,,,
13634,North Valleys G.P.S.,Firm,,
13638,Authority Crew LLC,Firm,,
13639,Brubaker Consulting LLC,Firm,,
13640,"BRS Field Ops, LLC",Firm,,
13641,CTA Plumbing 100 LLC,Firm,,
13642,"Foothills Mechanical, LLC",Firm,,
13643,HVAC Services,Firm,,
13644,"KOBE, LLC",Firm,,
13645,"Kore Refrigeration, LLC",Firm,,
13646,SD Property Services LLC,Firm,,
13647,Underdog Plumbing Company LLC,Firm,,
13650,ZIVI LLC,Firm,,
13651,Canyon Fire Protection LLC,Firm,,
13654,Dan's Pump and Filter LLC,Firm,,
13656,Lewis excavation inc,Firm,,
13658,Steady Earthworks LLC,Firm,,
13659,"Superior Water & Air, LLC",Firm,,
13660,"Thomas D. Robison Roofing, Inc.",Firm,,
13661,Those Guys,Firm,,
13662,Wired 4 Life LLC,Firm,,
13663,B4 Excavation & Trucking LLC,Firm,,
13664,"BLG Plumbing, LLC",Firm,,
